"Title","Year","Type","Description","Link","KTS","LifeCourse","Tag1","Tag2","Tag3","Tag4"
"My Life My View survey results 2024","2024","Report","A summary of the My Life My View survey results 2024","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/children_and_younger_people/My_Life_My_View_2024.pdf","Amber Valley","Start Well",NA,NA,NA,NA
"Derby and Derbyshire Infant Mortality Deep Dive 2024","2024","Report","This slide deck provides an analysis of the causes of infant death in Derby and Derbyshire, with a focus on the wider determinants which are risk or preventative factors.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2025/infant_mortality_deep_dive_2024_FINAL_2_1.pptx","Deaths","Age Well",NA,NA,NA,NA
"Suicide Conversation Tool and Support Package","2025","Link","The Suicide Conversation Tool is designed to help non mental health professionals in organisations in Derbyshire respond to disclosures of suicidal thoughts.","https://joinedupcarederbyshire.co.uk/wp-content/uploads/2025/10/Suicide-Conversation-Tool-and-Support-Package-Oct-v02-2025.pdf","Suicides","Stay Well",NA,NA,NA,NA
"DPH Annual Report 2025","2025","Annual Report","This year's report takes a closer look at the relationship between work and health, and the key role good work plays in alleviating poverty and supporting good health and wellbeing.","https://jsnaderbyshire.org.uk/DPH_Report/2025/Foreword.html","Report","All","Financial","Disability Unemployment",NA,NA
"NHS Vaccination Strategy","2024","Strategy","The NHS vaccination strategy shapes the future delivery of NHS vaccination and imunisation services.","https://www.england.nhs.uk/long-read/nhs-vaccination-strategy/","Vaccine preventable diseases","All",NA,NA,NA,NA
"Pre-conception",NA,"Link","Pre-conception Derbyshire County Council","https://www.derbyshire.gov.uk/social-health/health-and-wellbeing/your-health/preconception/preconception.aspx","Pre-conception","Start Well",NA,NA,NA,NA
"Making the Case for Pre-conception Care","2018","Report","Planning and preparation for pregnancy to improve maternal and child health outcomes","https://assets.publishing.service.gov.uk/media/5b585b3a40f0b6338218d6f1/Making_the_case_for_preconception_care.pdf","Pre-conception","Start Well",NA,NA,NA,NA
"A Wake-up Call for Pre-conception Health: a clinical review","2021","Report","Clinical Review British Journal of General Practice","https://bjgp.org/content/71/706/233","Pre-conception","Start Well",NA,NA,NA,NA
"Health of Women Before and During Pregnancy: Health Behaviours, Risk Factors and Inequalities","2019","Report","An Updated Analysis of the Maternity Services Dataset Antenatal Booking Data","https://assets.publishing.service.gov.uk/media/5dc00b22e5274a4a9a465013/Health_of_women_before_and_during_pregnancy_2019.pdf","Pre-conception","Start Well",NA,NA,NA,NA
"Pre-conception Care Strategy Report","2023","Strategy","Pre-conception Care Strategy Children's Alliance","https://childrensalliance.org.uk/preconception-care-strategy-report/","Pre-conception","Start Well",NA,NA,NA,NA
"Pregnancy Derbyshire Family Health Service",NA,"Link","Pregnancy Derbyshire Family Health Service","https://derbyshirefamilyhealthservice.nhs.uk/our-services/pregnancy","Pre-conception","Start Well",NA,NA,NA,NA
"Pre-conception Health and Interconception Health",NA,"Link","Pre-conception Health and Interconception Health Derbyshire County Council","https://www.derbyshire.gov.uk/social-health/health-and-wellbeing/your-health/preconception/preconception-health/preconception-health-and-interconception-health.aspx","Pre-conception","Start Well",NA,NA,NA,NA
"Online Pre-conception Toolkit",NA,"Link","Online Pre-conception Toolkit Derbyshire County Council","https://www.derbyshire.gov.uk/social-health/health-and-wellbeing/your-health/preconception/preconception-toolkit/preconception-toolkit.aspx","Pre-conception","Start Well",NA,NA,NA,NA
"Planning Your Pregnancy",NA,"Link","Planning Your Pregnancy NHS","https://www.nhs.uk/pregnancy/trying-for-a-baby/planning-your-pregnancy/","Pre-conception","Start Well",NA,NA,NA,NA
"Pre-conception Advice and Management",NA,"Link","Pre-conception Advice and Management NICE","https://cks.nice.org.uk/topics/pre-conception-advice-management/","Pre-conception","Start Well",NA,NA,NA,NA
"Safety in Pregnancy",NA,"Link","Safety in Pregnancy Derbyshire Family Health Service","https://derbyshirefamilyhealthservice.nhs.uk/our-services/pregnancy/getting-ready/safety-in-pregnancy","Pre-conception","Start Well",NA,NA,NA,NA
"Living Well Derbyshire",NA,"Link","Living Well Derbyshire Derby Wellbeing","https://livingwellderbyshire.org.uk/","Pre-conception","Start Well",NA,NA,NA,NA
"Vaccinations in Pre-pregnancy and Pregnancy",NA,"Link","Vaccinations in Pre-pregnancy and Pregnancy Derbyshire County Council","https://www.derbyshire.gov.uk/social-health/health-and-wellbeing/your-health/preconception/vaccinations/vaccinations.aspx","Pre-conception","Start Well",NA,NA,NA,NA
"Planning for Pregnancy",NA,"Link","Planning for Pregnancy CDC","https://www.cdc.gov/pregnancy/about/index.html","Pre-conception","Start Well",NA,NA,NA,NA
"Derby and Derbyshire Oral Health Strategy Summary (2025-2030)","2025-30","Strategy","A one-page summary of the Derby and Derbyshire Oral Health Strategy 2025–2030 that sets out the vision to improve oral health and reduce inequalities, highlighting actions on access, prevention, workforce, integration with general health, and public engagement.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2025/derby_and_derbyshire_oral_health_strategy_oa_page_2025-30.pdf","Oral Health","Stay Well",NA,NA,NA,NA
"Accredited official statistics - English indices of deprivation 2025: statistical release","2025","Report","A concise overview of the 2025 English Indices of Deprivation that updates the official small-area rankings of relative deprivation in England and summarises key findings, methods and guidance for use.","https://www.gov.uk/government/statistics/english-indices-of-deprivation-2025/english-indices-of-deprivation-2025-statistical-release","English indices of deprivation 2025","All",NA,NA,NA,NA
"English indices of deprivation 2025: technical report","2025","Report","The methodological guide to the 2025 English Indices of Deprivation, explaining the conceptual framework, indicator construction, domain aggregation and quality assurance behind the IMD.","https://www.gov.uk/government/publications/english-indices-of-deprivation-2025-technical-report","English indices of deprivation 2025","All",NA,NA,NA,NA
"English indices of deprivation 2025","2025","Link","The landing page for the 2025 English Indices of Deprivation, providing official small-area deprivation statistics for England with links to the statistical release, data files, FAQs and supporting guidance.","https://www.gov.uk/government/statistics/english-indices-of-deprivation-2025","English indices of deprivation 2025","All",NA,NA,NA,NA
"NHS England Core20PLUS5",NA,"Link","Core20PLUS5 is a national NHS England approach to inform action to reduce healthcare inequalities at both national and system level. The approach defines a target population – the ‘Core20PLUS’ – and identifies ‘5’ focus clinical areas requiring accelerated improvement.","https://www.england.nhs.uk/about/equality/equality-hub/national-healthcare-inequalities-improvement-programme/core20plus5/","English indices of deprivation 2025","All",NA,NA,NA,NA
"NICE and the Marmot Review",NA,"Link","The Marmot review set out to identify effective evidence-based strategies for reducing health inequalities.The final report identified 6 policy objectives for action.NICE have mapped guidance to each of the 6 policy objectives outlined in the Marmot review.","https://www.nice.org.uk/implementing-nice-guidance/cost-saving-resource-planning-and-audit/nice-and-health-inequalities/nice-and-the-marmot-review","English indices of deprivation 2025","All",NA,NA,NA,NA
"The Long Shadow of Deprivation, Differences in opportunities across England, Social Mobility Commission","2020","Report","Report from the Social Mobility Commission highlighting the differences in social mobility opportunities within local areas in England.","https://assets.publishing.service.gov.uk/media/5f76d4dce90e0715c9258c18/SMC_Long_shadow_of_deprivation_MAIN_REPORT_Accessible.pdf","English indices of deprivation 2025","All",NA,NA,NA,NA
"Illustrating the relationship between poverty and NHS services","2024","Link","The King's Fund article about the relationship between poverty and NHS services.","https://www.kingsfund.org.uk/insight-and-analysis/long-reads/relationship-poverty-nhs-services","English indices of deprivation 2025","All",NA,NA,NA,NA
"English indices of deprivation 2025: rural report","2025","Report","Report outlining how rural deprivation has been explicitly considered in the development of the indices of deprivation (IoD25).","https://www.gov.uk/government/publications/english-indices-of-deprivation-2025-rural-report","English indices of deprivation 2025","All",NA,NA,NA,NA
"English indices of deprivation 2025: research report","2025","Report","Report outlining the main results and providing examples and guidance on how to use and interpret the datasets.","https://assets.publishing.service.gov.uk/media/68ff547a49d08dd781b48351/ID_2025_Research_Report.pdf","English indices of deprivation 2025","All",NA,NA,NA,NA
"DCC Dashboard Index of Multiple Deprivation 2025","2025","Report","Derbyshire County Council Strategy and Policy Interactive Report IoD25","https://app.powerbi.com/view?r=eyJrIjoiYzQzYmYxY2QtYzViNy00ZTA0LWFiYTctNjdkMzMwMGE0Yjc0IiwidCI6IjQyOWE4ZWIzLTMyMTAtNGUxYS1hYWEyLTZjY2RlMGRkYWJjNSJ9","English indices of deprivation 2025","All",NA,NA,NA,NA
"Chesterfield Health and Wellbeing Strategy 2024-27","2024","Strategy","Chesterfield Health and Wellbeing Partnership Strategy","https://chesterfield.moderngov.co.uk/documents/s54416/Chesterfield%20HWB%20Partnership%20Strategy%2024-27_Final.pdf","Chesterfield",NA,NA,NA,NA,NA
"Chesterfield Borough Council Plan 2023-27","2023","Report","Chesterfield Borough Council Plan 2023-27","https://www.chesterfield.gov.uk/your-council/your-chesterfield/council-plan-2023-to-2027/","Chesterfield",NA,NA,NA,NA,NA
"Chesterfield State of the Borough Report 2024","2024","Report","The Chesterfield State of the Borough Report draws mainly on data from the 2021 Census.","https://www.chesterfield.gov.uk/media/tsmkhj2g/state-of-the-borough-2024.pdf","Chesterfield",NA,NA,NA,NA,NA
"Worrying About Money? Leaflet",NA,"Link","Leaflet about financial advice and support that is available in Chesterfield.","https://cd749f59-f81e-4c3c-9548-798a16260bff.usrfiles.com/ugd/cd749f_c08d19cc5337400cb8236d4e4f4e6abb.pdf","Chesterfield",NA,NA,NA,NA,NA
"Chesterfield Health and Wellbeing Partnership",NA,"Link","The Chesterfield Health and Wellbeing Partnership Board exists to provide a platform to support local partners in working together to improve health and wellbeing, and reduce health inequalities in Chesterfield.","https://www.chesterfield.gov.uk/living-here/chesterfield-health-and-wellbeing-partnership/","Chesterfield",NA,NA,NA,NA,NA
"Thrive Social Prescribing for Young People",NA,"Link","Working alongside young people, Thrive offers short term support which is sustainable, to try new activities, develop independence skills or explore volunteering opportunities, supporting them to access their local communities and make wider social connections.","https://services.thejoyapp.com/en/listings/874-thrive-social-prescribing-for-young-people","Chesterfield",NA,NA,NA,NA,NA
"Derwent Valley Mills 2020-2025 Management Plan",NA,"Link","The Management Plan looks at the main issues affecting the site and gives objectives and a programme of actions to ensure a co-ordinated approach and framework to its management.","https://www.derwentvalleymills.org/about-the-derwent-valley-mills/the-management-plan/","Derbyshire Dales",NA,NA,NA,NA,NA
"The Council Plan 2024-2028, South Derbyshire District Council","2024","Strategy","The Council Plan sets out the Council’s vision, priorities and aims for the District of South Derbyshire. The new Council Plan is effective from 1 April 2024.","https://www.southderbyshire.gov.uk/about-us/the-council-plan-2024-2028","South Derbyshire",NA,NA,NA,NA,NA
"Derbyshire Cost of Living Dashboard","2025","Report","The Derbyshire Cost of Living Dashboard brings together available indicators to provide an overview of the current context, with a view to monitoring and tracking the extent to which the social determinants of health change in the medium and longer term.","https://jsnaderbyshire.org.uk/Healthy_Places/Economic_and_working_conditions/cost_of_living_dashboard.html","Financial Inclusion",NA,NA,NA,NA,NA
"SACE 2023/24 Main Findings for Derbyshire Report","2024","Report","The Survey of Adult Carers in England 2023/24 Report summarises the findings for Derbyshire in comparison with similar local authorities, the East Midlands region and England.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2025/SACE_final_report_20032025.pdf","Carers",NA,NA,NA,NA,NA
"Survey of Adult Carers (SACE) Infographic 2023-24","2024","Report","This infographic gives a summary of the Carers’ survey carried out by Derbyshire County Council in 2023-24.
The infographic is published for carers and social care staff.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2025/Infographic_SACE_23-24_20032025.pdf","Carers",NA,NA,NA,NA,NA
"ASCS 2018/19 Main Findings for Derbyshire Report","2019","Report","The Adult Social Care Survey in England 2018/19 Report summarises the findings for Derbyshire in comparison with similar local authorities, the East Midlands region and England.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2019/ASCS_18_19_Report.pdf","Carers",NA,NA,NA,NA,NA
"ASCS Infographic 2018/19","2019","Report","This infographic summarises the results for the ASCS for 2018/19, including the ASCOFs.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2019/ASCS_18_19_Infographic.pdf","Carers",NA,NA,NA,NA,NA
"ASCS 2022/23 Main Findings for Derbyshire Report","2023","Report","The Adult Social Care Survey in England 2022/23 Report summarises the findings for Derbyshire in comparison with similar local authorities, the East Midlands region and England.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2023/ASCS_Results_2022-23_final_approved.pdf","Carers",NA,NA,NA,NA,NA
"ASCS Infographic 2022/23","2023","Report","This infographic summarises the results for the ASCS for 2022/23, including the ASCOFs.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2023/Infographic_ASCS_22-23_final.pdf","Carers",NA,NA,NA,NA,NA
"ASCS 2023/24 Main Findings for Derbyshire Report","2024","Report","The Adult Social Care Survey in England 2023/24 Report summarises the findings for Derbyshire in comparison with similar local authorities, the East Midlands region and England.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2024/ASCS_Results_2023-24.pdf","Carers",NA,NA,NA,NA,NA
"ASCS Infographic 2023/24","2024","Report","This infographic summarises the results for the ASCS for 2023/24, including the ASCOFs.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2024/Infographic_ASCS_23-24.pdf","Carers",NA,NA,NA,NA,NA
"Derby and Derbyshire Pharmaceutical Needs Assessment 2025-2028","2025","Report","The Pharmaceutical Needs Assessment assess the current and future pharmaceutical needs of the local population and determines whether the provision of pharmacy services is sufficient to meet those needs.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/pharmaceutical_needs_assessment/PNA_2025_28.pdf#view=Fit","PNA",NA,NA,NA,NA,NA
"DCC Tobacco Control in Derbyshire: Health Needs Assessment - 2023 Update","2023","Report","Derbyshire County Council Tobacco Control in Derbyshire: Health Needs Assessment - 2023 Update","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/adult_lifestyles/smoking/Derbyshire_TC_HNA_Update_2023.pdf","CYP Smoking and Vaping",NA,NA,NA,NA,NA
"Derby City Council Tobacco Control Health Needs Assessment 2023","2023","Report","Derby City Council Tobacco Control Health Needs Assessment 2023","https://www.derby.gov.uk/media/derbycitycouncil/contentassets/documents/healthandsocialcare/publichealth/derby-tobacco-control-health-needs-assessment.pdf","CYP Smoking and Vaping",NA,NA,NA,NA,NA
"Smoking in England Findings from the Smoking Toolkit Study","2025","Link","Smoking in England Discover Major Findings Relating to Smoking in England","https://smokinginengland.info/graphs/top-line-findings","CYP Smoking and Vaping",NA,NA,NA,NA,NA
"ASH New Data on Vaping Uncovers a Public Health Disconnect","2025","Link","Action on Smoking and Health: New Data on Vaping Uncovers a Public Health Disconnect","https://ash.org.uk/media-centre/news/press-releases/new-data-on-vaping-uncovers-a-public-health-disconnect","CYP Smoking and Vaping",NA,NA,NA,NA,NA
"Tobacco and Vapes Bill","2025","Link","UK Parliamentary Bill to make provision about the supply of tobacco, vapes and other products","https://bills.parliament.uk/bills/3879","CYP Smoking and Vaping",NA,NA,NA,NA,NA
"Live Life Better Derbyshire Stopping Smoking Services",NA,"Link","Live Life Better Derbyshire Stopping Smoking Support","https://www.livelifebetterderbyshire.org.uk/services/stopping-smoking/stopping-smoking.aspx#:~:text=How%20do%20I%20join%3F,in%20our%20online%20health%20MOT.","CYP Smoking and Vaping",NA,NA,NA,NA,NA
"Derby Livewell Stop Smoking",NA,"Link","Derby Livewell Stop Smoking","https://livewellderby.co.uk/services/stop-smoking","CYP Smoking and Vaping",NA,NA,NA,NA,NA
"NICE Tobacco: Preventing uptake, promoting quitting and treating independence",NA,"Link","National Institute for Health and Care Excellence","https://www.nice.org.uk/guidance/ng209","CYP Smoking and Vaping",NA,NA,NA,NA,NA
"Joined Up Care Derbyshire Screening Programmes",NA,"Link","Information on Bowel Cancer Screening","https://joinedupcarederbyshire.co.uk/your-services/cancer/screening-programmes/","Bowel Cancer","Age Well",NA,NA,NA,NA
"Macmillan Cancer Support",NA,"Link","Information regarding Macmillan services in the East Midlands","https://www.macmillan.org.uk/cancer-information-and-support/get-help/macmillan-services/east-midlands","Bowel Cancer","Age Well",NA,NA,NA,NA
"Patient and Public Resources - NHS East Midlands Cancer Alliance",NA,"Link","Patient and public resources related to the work of the East Midlands Cancer Alliance","https://eastmidlandscanceralliance.nhs.uk/patient/patients-and-public-resources","Bowel Cancer","Age Well",NA,NA,NA,NA
"Ashgate Hospice",NA,"Link","Support for those living with a life-limiting illness, caring for someone who is, or grieving the death of someone important to you","https://ashgatehospice.org.uk/","Bowel Cancer","Age Well",NA,NA,NA,NA
"Blythe House Hospice",NA,"Link","Provides a range of free, tailored care and support to patients and their families affected by cancer and other life-limiting illnesses across the High Peak, Hope Valley, Derbyshire Dales, Chesterfield and North East Derbyshire","https://blythehousehospice.org.uk/","Bowel Cancer","Age Well",NA,NA,NA,NA
"Derbyshire All Age Carers Support Service",NA,"Link","Information on services to help those who are caring for a loved one who has cancer or would like information on how to be supportive","https://derbyshirecarers.co.uk/i-care-for-someone-with-cancer","Bowel Cancer","Age Well",NA,NA,NA,NA
"UK Government guidance on Bowel Cancer screening: having a colonoscopy",NA,"Link","This information is for people invited for colonoscopy after bowel screening. You can choose if you have a colonoscopy. This leaflet aims to help you decide.","https://www.gov.uk/government/publications/bowel-cancer-screening-colonoscopy/bowel-cancer-screening-having-a-colonoscopy-fit","Bowel Cancer","Age Well",NA,NA,NA,NA
"Social Connection, Community Activities & Volunteering","2025","Report","A report of the findings from a piece of community insight gathering to explore the opportunities, barriers and facilitators to social connection, attending community activities and volunteering in Derbyshire.","https://derbyshire-observatory-bucket.s3.eu-west-2.amazonaws.com/uploads/reports/documents/health/adult_lifestyles/Social+Connection_Community+Insights_Oct+2025.pdf","Loneliness",NA,NA,NA,NA,NA
"IOD Postcode Lookup Tool","2025","Link","A simple tool to look up a postcode and view a quick profile for the corresponding area. It helps you understand how your postcode sits within Derbyshire and Derby by showing key indicators and how they compare with Derbyshire overall.","https://jsnaderbyshire.org.uk/imd_2025/pc_lookup.html","English indices of deprivation 2025",NA,NA,NA,NA,NA
"Bolsover Partnership Annual Report 2023","2023","Report","The annual report and film for Bolsover Partnership 23-24. This reviews all projects that the Bolsover Partnership funds (which includes public health locality funding).","https://junctionarts.org/partners-bolsover-partnership-annual-report-2023-24/","Bolsover",NA,NA,NA,NA,NA
"Bolsover District Walk Derbyshire Stage One Report","2023","Report","Community engagement findings on barriers to walking for Walk Derbyshire's Active Neighbourhood pilot (Bolsover Compass)","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/jsna/kts_documents/bolsover/BCVS_walking_report_v5.pdf","Bolsover",NA,NA,NA,NA,NA
"Bolsover Compass: Youth Ambassador Programme",NA,"Link","Video about the Bolsover Compass Youth Ambassador Programme","https://www.youtube.com/watch?v=2beYPksCtq4","Bolsover",NA,NA,NA,NA,NA
"Bolsover Compass, Junction Arts",NA,"Link","Junction Arts article about the Bolsover Compass community project","https://junctionarts.org/bolsover-compass/","Bolsover",NA,NA,NA,NA,NA
"Bolsover Public Health Locality Review 2024-25","2024","Report","Bolsover Public Health Locality Review","https://derbyshire-observatory-bucket.s3.eu-west-2.amazonaws.com/uploads/reports/documents/health/jsna/kts_documents/bolsover/bolsover_locality_review_24_25.pdf","Bolsover",NA,NA,NA,NA,NA
"Shirebrook Health Inequalities and Vaccine Hesitancy Report 2022","2022","Report","Shirebrook Health Inequalities and Vaccine Hesitancy Report, Community Trusted Voices, Approach to Resident Feedback on the Wider Determinants of Health","https://www.bcvs.org.uk/sites/default/files/2023-05/Shirebrook%20Health%20Inequalities%20and%20Vaccine%20Hesitancy%20Report.pdf","Bolsover",NA,NA,NA,NA,NA
"Shirebrook Health Inequalities and Vaccine Hesitancy Report 2023","2023","Report","Shirebrook Health Inequalities and Vaccine Hesitancy Report, Community Trusted Voices, Approach to Resident Feedback on the Wider Determinants of Health","https://www.google.co.uk/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwiG_rW79KGSAxUsW0EAHXXKGs0QFnoECBsQAQ&url=https%3A%2F%2Fwww.bcvs.org.uk%2Fsites%2Fdefault%2Ffiles%2F2023-05%2FVIG%2520Shirebrook%2520Vaccine%2520Inequalities.pptx&usg=AOvVaw1qgT-wq46t3dY6xjcPCy3k&opi=89978449","Bolsover",NA,NA,NA,NA,NA
"Fusion Impact Study 2024-25","2024","Report","Direct Education Business Partnership Fusion Impact Study Report 2024/25","https://derbyshire-observatory-bucket.s3.eu-west-2.amazonaws.com/uploads/reports/documents/health/jsna/kts_documents/bolsover/fusion_impact_study_2425_DEBP.pdf","Bolsover",NA,NA,NA,NA,NA
"Community Trusted Voices Resident Feedback on the Health & community","2024","Report","Community Trusted Voices, Resident Feedback on the Health & community, Bolsover Community and Voluntary Service","https://derbyshire-observatory-bucket.s3.eu-west-2.amazonaws.com/uploads/reports/documents/health/jsna/kts_documents/bolsover/community_trusted_voices_report_november_2024.pdf","Bolsover",NA,NA,NA,NA,NA
"Community Rail Partnership Annual Report 2024","2024","Report","Annual report for the Robin Hood Line Community Rail Partnership. The Robin Hood Line runs from Worksop to Nottingham.","https://derbyshire-observatory-bucket.s3.eu-west-2.amazonaws.com/uploads/reports/documents/health/jsna/kts_documents/bolsover/community_rail_partnership_annual_report_2024.pdf","Bolsover",NA,NA,NA,NA,NA
"Vaccination Engagement Creswell and South Normanton (Covid-19 and Flu)","2023","Report","Report about vaccination engagement Creswell and South Normanton.","https://www.google.co.uk/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiKlPTd9aGSAxU0QEEAHZW5NNkQFnoECBwQAQ&url=https%3A%2F%2Fdemocracy.derbyshire.gov.uk%2Fdocuments%2Fs23008%2FVaccination%2520Engagement%2520Creswell%2520and%2520South%2520Normanton%2520Covid-19%2520and%2520Flu.pdf&usg=AOvVaw1iymnw5Dn-4PUPfXwXj2Gi&opi=89978449","Bolsover",NA,NA,NA,NA,NA
"Community directory for Bolsover groups and organisations",NA,"Link","Treacle is a community directory for Bolsover groups and organisations.","https://www.treacle.me/","Bolsover",NA,NA,NA,NA,NA
"Best Start in Life, Early learning and development, NHS",NA,"Link","NHS Best Start in Life website, early learning and development","https://www.nhs.uk/best-start-in-life/early-learning-development/","Early Years Development","Start Well",NA,NA,NA,NA
"Health Equity in England: The Marmot Review 10 Years On, Executive Summary",NA,"Link","The Marmot review 10 years on. Executive Summary.","https://www.instituteofhealthequity.org/resources-reports/marmot-review-10-years-on/the-marmot-review-10-years-on-executive-summary.pdf","Early Years Development","Start Well",NA,NA,NA,NA
"Early years foundation stage profile handbook","2025","Link","Early years foundation stage profile handbook, gov.uk","https://www.gov.uk/government/publications/early-years-foundation-stage-profile-handbook/early-years-foundation-stage-profile-handbook","Early Years Development","Start Well",NA,NA,NA,NA
"Early years foundation stage profile results",NA,"Link","Early years foundation stage profile results, gov.uk","https://explore-education-statistics.service.gov.uk/find-statistics/early-years-foundation-stage-profile-results/2024-25?utm_source=chatgpt.com","Early Years Development","Start Well",NA,NA,NA,NA
"Progress check at age two, Department for Education",NA,"Link","Progress check at stage two, 
Non-statutory guidance 
for the early years 
foundation stage","https://assets.publishing.service.gov.uk/media/6284c0a2e90e071f61322177/Progress_check_at_age_two_non-statutory_guidance_for_the_early_years_foundation_stage_.pdf","Early Years Development","Start Well",NA,NA,NA,NA
"The Best Start for Life, The Early Years Healthy Development Review Report",NA,"Link","The Best Start for Life, A vision for the 1,001 Critical Days, The Early Years Healthy Development Review Report, gov.uk","https://assets.publishing.service.gov.uk/media/605c572b8fa8f545d23f8a73/Early_Years_Report.pdf?utm_source=chatgpt.com","Early Years Development","Start Well",NA,NA,NA,NA
"Family Hub Derby",NA,"Link","Family Hub Resources, Derby City Council","https://www.derby.gov.uk/community-and-living/family-hub-childcare/family-hub/","Early Years Development","Start Well",NA,NA,NA,NA
"Children's Services Locality Profile 2018","2018","Report","Derbyshire Children's Services Locality Profile 2018","https://derbyshire-observatory-bucket.s3.eu-west-2.amazonaws.com/uploads/reports/documents/health/children_and_younger_people/CS_Locality_Profile_2018.pdf","Early Years Development","Start Well",NA,NA,NA,NA
"Breastfeeding Infographics, Derbyshire Observatory",NA,"Link","Breastfeeding in Derbyshire infographics","https://observatory.derbyshire.gov.uk/health/children-and-young-people/breastfeeding/","Early Years Development","Start Well",NA,NA,NA,NA
"Children and Families - Key Facts for Derbyshire","2026","Report","Interactive dashboard about children and families in Derbyshire","https://app.powerbi.com/view?r=eyJrIjoiYWNhNzc1MzEtNDBmMS00M2RiLTljNzQtMzVkZWQ1YjMyNjgzIiwidCI6IjQyOWE4ZWIzLTMyMTAtNGUxYS1hYWEyLTZjY2RlMGRkYWJjNSJ9","Early Years Development","Start Well",NA,NA,NA,NA
"Report of NHS England and NHS Improvement Midlands and Derbyshire County Public Health on National Cancer Screening programmes commissioned for Derbyshire","2020","Report","Report of NHS England and NHS Improvement Midlands and Derbyshire County Public Health on National Cancer Screening programmes commissioned for Derbyshire.","https://democracy.derbyshire.gov.uk/documents/s2714/Item%206%20National%20Cancer%20Screening%20Programmes.pdf","Bowel Cancer","Age Well",NA,NA,NA,NA
"Healthier Communities Plan 2025-27","2025","Report","Healthier Communities Plan 2025-27 - Improving the health and wellbeing of people in South Derbyshire by supporting 
people to live healthier lives","https://derbyshire-observatory-bucket.s3.eu-west-2.amazonaws.com/uploads/reports/documents/health/jsna/Healthier_Communities_Plan_2025-27.pdf","South Derbyshire",NA,NA,NA,NA,NA
"Derbyshire Dales Local Integration Group - Health and Wellbeing Locality Plan 2025-2027","2025","Report","The locality plan sets out the areas of focus and actions for improving health and wellbeing and 
reducing health inequalities for people living in the Derbyshire Dales. The plan also informs the 
allocation of the Public Health Locality Fund and the capacity and resource of the partnership.","https://derbyshire-observatory-bucket.s3.eu-west-2.amazonaws.com/uploads/reports/documents/health/jsna/2027-25_DLIG_Partnership_Plan.pdf","Derbyshire Dales",NA,NA,NA,NA,NA
"A summary of the My Life, My View survey results 2025","2025","Report","The My Life, My View survey is a survey of young people in Derbyshire secondary schools. It was established in 2016 and has been delivered by the Schools Health Education Unit, Exeter since 2019.","https://derbyshire-observatory-bucket.s3.eu-west-2.amazonaws.com/uploads/My%20Life%20My%20View%202025%20(004).pdf","Loneliness","Start Well",NA,NA,NA,NA
"Honest Information about Drugs FRANK","2026","Link","Honest Information about Drugs FRANK","https://talktofrank.com/","CYP Smoking and Vaping",NA,NA,NA,NA,NA
"Report Underage Sale of Tobacco or Vape or Illegal Tobacco or Vapes","2026","Link","Report Underage Sale of Tobacco or Vape or Illegal Tobacco or Vapes","https://www.citizensadvice.org.uk/consumer/get-more-help/report-to-trading-standards/","CYP Smoking and Vaping",NA,NA,NA,NA,NA
"Lyme Disease UK",NA,"Link","Lyme Disease UK","https://lymediseaseuk.com/","Lyme Disease",NA,NA,NA,NA,NA
"Lyme Disease",NA,"Link","Lyme Disease NHS","https://www.nhs.uk/conditions/lyme-disease/","Lyme Disease",NA,NA,NA,NA,NA
"What is Lyme Disease and why do we need to be tick-aware?",NA,"Link","What is Lyme Disease and why do we need to be tick-aware? UKHSA","https://ukhsa.blog.gov.uk/2024/03/21/what-is-lyme-disease-and-why-do-we-need-to-be-tick-aware/","Lyme Disease",NA,NA,NA,NA,NA
"Trussell Trust","","Link","The Trussell Trust is an anti-poverty charity and community of food banks. They work to ensure no one in the UK needs a food bank to survive, while providing emergency support for people left without enough money to live on.","https://www.trussell.org.uk/","Food Insecurity","","","","",""
